service_id,date,exception_type
WD,20110101,2
WE,20110101,1
WD,20110102,2
WE,20110102,1
WD,20110501,2
WE,20110501,1
WD,20110815,2
WE,20110815,1
WD,20111201,2
WE,20111201,1
WD,20111225,2
WE,20111225,1
WD,20111226,2
WE,20111226,1
WD,20120101,2
WE,20120101,1
WD,20120102,2
WE,20120102,1
WD,20120501,2
WE,20120501,1
WD,20120815,2
WE,20120815,1
WD,20121201,2
WE,20121201,1
WD,20121225,2
WE,20121225,1
WD,20121226,2
WE,20121226,1
WD,20130101,2
WE,20130101,1
WD,20130102,2
WE,20130102,1
WD,20130501,2
WE,20130501,1
WD,20130815,2
WE,20130815,1
WD,20131201,2
WE,20131201,1
WD,20131225,2
WE,20131225,1
WD,20131226,2
WE,20131226,1
WD,20140101,2
WE,20140101,1
WD,20140102,2
WE,20140102,1
WD,20140501,2
WE,20140501,1
WD,20140815,2
WE,20140815,1
WD,20141201,2
WE,20141201,1
WD,20141225,2
WE,20141225,1
WD,20141226,2
WE,20141226,1
WD,20150101,2
WE,20150101,1
WD,20150102,2
WE,20150102,1
WD,20150501,2
WE,20150501,1
WD,20150815,2
WE,20150815,1
WD,20151201,2
WE,20151201,1
WD,20151225,2
WE,20151225,1
WD,20151226,2
WE,20151226,1
