date,exception_type,service_id
20110101,2,Lucru
20110101,1,Duminică
20110102,2,Lucru
20110102,1,Duminică
20110501,2,Lucru
20110501,1,Duminică
20110815,2,Lucru
20110815,1,Duminică
20111201,2,Lucru
20111201,1,Duminică
20111225,2,Lucru
20111225,1,Duminică
20111226,2,Lucru
20111226,1,Duminică
20120101,2,Lucru
20120101,1,Duminică
20120102,2,Lucru
20120102,1,Duminică
20120501,2,Lucru
20120501,1,Duminică
20120815,2,Lucru
20120815,1,Duminică
20121201,2,Lucru
20121201,1,Duminică
20121225,2,Lucru
20121225,1,Duminică
20121226,2,Lucru
20121226,1,Duminică
20130101,2,Lucru
20130101,1,Duminică
20130102,2,Lucru
20130102,1,Duminică
20130501,2,Lucru
20130501,1,Duminică
20130815,2,Lucru
20130815,1,Duminică
20131201,2,Lucru
20131201,1,Duminică
20131225,2,Lucru
20131225,1,Duminică
20131226,2,Lucru
20131226,1,Duminică
20140101,2,Lucru
20140101,1,Duminică
20140102,2,Lucru
20140102,1,Duminică
20140501,2,Lucru
20140501,1,Duminică
20140815,2,Lucru
20140815,1,Duminică
20141201,2,Lucru
20141201,1,Duminică
20141225,2,Lucru
20141225,1,Duminică
20141226,2,Lucru
20141226,1,Duminică
20150101,2,Lucru
20150101,1,Duminică
20150102,2,Lucru
20150102,1,Duminică
20150501,2,Lucru
20150501,1,Duminică
20150815,2,Lucru
20150815,1,Duminică
20151201,2,Lucru
20151201,1,Duminică
20151225,2,Lucru
20151225,1,Duminică
20151226,2,Lucru
20151226,1,Duminică
